"CODESTAB","CODMUNNASC","n_nascimentos","ANONASC","n_anomalias"
"0000296",431490,71,2010,1
"0000300",430040,30,2010,0
"2223538",430510,1452,2010,11
"2223546",430510,1986,2010,4
"2223562",430510,662,2010,5
"2223570",430510,1446,2010,2
"2223597",430510,1242,2010,9
"2224305",431365,1,2010,0
"2224356",432380,1,2010,0
"2224607",431365,7,2010,0
"2224615",431250,26,2010,1
"2224836",430517,1,2010,0
"2224844",430544,1,2010,0
"2224909",430190,1,2010,0
"2224968",432170,5,2010,0
"2225328",430930,228,2010,1
"2226049",431198,1,2010,0
"2227665",431010,682,2010,7
"2227673",432200,299,2010,3
"2227681",431650,86,2010,1
"2227703",431575,6,2010,0
"2227711",430650,102,2010,0
"2227738",430110,2,2010,0
"2227754",430360,52,2010,0
"2227762",431405,681,2010,6
"2227770",431820,220,2010,0
"2227886",431840,835,2010,4
"2227908",431950,306,2010,3
"2227932",432120,283,2010,6
"2227959",431240,473,2010,4
"2228548",430340,48,2010,0
"2228556",431470,126,2010,1
"2228564",430050,71,2010,0
"2228580",431380,209,2010,1
"2228602",430850,406,2010,0
"2228610",432020,274,2010,2
"2228629",430064,54,2010,0
"2228653",431050,94,2010,0
"2228688",431270,214,2010,2
"2228726",432190,407,2010,2
"2228734",431590,158,2010,0
"2230100",430460,1,2010,0
"2231549",430310,1,2010,0
"2232014",430460,398,2010,4
"2232022",431870,1981,2010,3
"2232030",430770,1363,2010,9
"2232049",430920,1833,2010,0
"2232057",431340,925,2010,11
"2232073",430390,955,2010,2
"2232081",430060,1705,2010,19
"2232103",430310,1467,2010,16
"2232138",430640,303,2010,4
"2232146",431340,1871,2010,7
"2232154",431990,1243,2010,7
"2232162",432000,1167,2010,1
"2232170",431480,153,2010,2
"2232189",431080,340,2010,1
"2232928",430450,568,2010,2
"2232995",431560,789,2010,4
"2233312",431880,545,2010,1
"2233320",431450,87,2010,0
"2233339",431420,7,2010,0
"2233347",431460,144,2010,2
"2233355",431850,208,2010,1
"2233363",430063,2,2010,0
"2233371",431880,1,2010,0
"2233398",431730,359,2010,2
"2233401",431100,305,2010,4
"2233428",430130,128,2010,3
"2233436",430710,3,2010,0
"2233444",431245,6,2010,0
"2234327",430690,1,2010,0
"2234386",430010,85,2010,0
"2234394",432070,311,2010,2
"2234408",432070,63,2010,0
"2234416",430280,329,2010,0
