"IBGE","UF","MUNICIPIO","CNES","NOME FANTASIA","RAZAO SOCIAL","CNPJ PROPRIO","CNPJ MANTENEDORA","TIPO GESTAO","LOGRADOURO","NUMERO","BAIRRO","CEP","LATITUDE","LONGITUDE"
430510,"RS","CAXIAS DO SUL",3356868,"HOSPITAL UNIMED CAXIAS DO SUL","UNIMED NORDESTE RS SOCIEDADE COOPERATIVA DE SMEDLTDA","87827689002405",NA,"M","RUA CARLOS BIANCHINI","1744","MARECHAL FLORIANO",95013000,"-29168","-51179"
432240,"RS","URUGUAIANA",2248190,"SANTA CASA DE URUGUAIANA","SANTA CASA DE CARIDADE DE URUGUAIANA","98416225000128",NA,"E","DOMINGOS DE ALMEIDA","3801","SAO MIGUEL",97502854,"-2977115","-5708455"
430210,"RS","BENTO GONCALVES",2241021,"HOSPITAL TACCHINI","ASSOCIACAO DR BARTHOLOMEU TACCHINI","87547444000120",NA,"M","DOUTOR JOSE MARIO MONACO","358","CENTRO",95700068,"-2916771","-5151421"
430460,"RS","CANOAS",3508528,"HOSPITAL UNIVERSITARIO","GAMP GRUPO DE APOIO A MEDICINA PREVENTIVA E SAUDE PUBLICA","9549061000349",NA,"M","AVENIDA FARROUPILHA","8001","SAO JOSE",92425900,"-2992830","-5116766"
431405,"RS","PAROBE",2227762,"HOSPITAL SAO FRANCISCO DE ASSIS","ASSOCIACAO BENEFICENTE DE PAROBE","88373121000120",NA,"E","RUA THENO JOSE BERLITZ","50","CENTRO",95630000,"-2962493","-5083816"
431750,"RS","SANTO ANGELO",2259907,"HOSPITAL SANTO ANGELO","ASSOCIACAO HOSPITAL DE CARIDADE DE SANTO ANGELO","96210471000101",NA,"D","ANTONIO MANOEL","701","CENTRO",98801690,"-2830598","-5426351"
430300,"RS","CACHOEIRA DO SUL",2266474,"HOSPITAL DE CARIDADE E BENEFICENCIA","HOSPITAL DE CARIDADE E BENEFICENCIA","87768735000148",NA,"M","RUA SALDANHA MARINHO","48","CENTRO",96508000,"-3005234","-5289047"
431020,"RS","IJUI",2261057,"HOSPITAL DE CARIDADE DE IJUI","ASSOCIACAO HOSPITAL DE CARIDADE IJUI","90730508000138",NA,"E","AV DAVID JOSE MARTINS","152","CENTRO",98700000,"-28388","-53915"
430510,"RS","CAXIAS DO SUL",2223546,"HOSPITAL POMPEIA","PIO SODALICIO DAS DAMAS DE CARIDADE DE CAXIAS DO SUL","88633227000115",NA,"M","AV JULIO DE CASTILHOS","2163","CENTRO",95010005,"-29168","-51179"
430510,"RS","CAXIAS DO SUL",2223570,"HOSPITAL DO CIRCULO","CIRCULO OPERARIO CAXIENSE","88645403001372",NA,"M","RUA ARCY DA ROCHA NOBREGA","421","JARDIM MARGARIDA",95040000,"-29168","-51179"
431340,"RS","NOVO HAMBURGO",3213943,"HOSPITAL UNIMED","UNIMED VALE DO SINOS COOPERATIVA DE ASSISTENCIA A SAUDE LT","88258884001444",NA,"M","RUA WALDEMAR GEIB","161","CANUDOS",93540300,"-29678","-51131"
431680,"RS","SANTA CRUZ DO SUL",2254964,"HOSPITAL SANTA CRUZ","ASSOCIACAO PROENSINO EM SANTA CRUZ DO SUL","95438412001277",95438412000114,"M","RUA FERNANDO ABOTT","174","CENTRO",96810072,"-2972022","-5242688"
432160,"RS","TRAMANDAI",2793008,"HOSPITAL TRAMANDAI","FUNDACAO DE SAUDE SAPUCAIA DO SUL","13183513000208",13183513000127,"D","AV EMANCIPACAO","1255","CENTRO",95590000,"-2999201","-5013983"
