"codigo","nome"
2223538,"HOSPITAL GERAL"
2223546,"HOSPITAL POMPEIA"
2223570,"HOSPITAL DO CIRCULO"
2227762,"HOSPITAL SAO FRANCISCO DE ASSIS"
2227886,"HCSJ HOSPITAL DE CARIDADE SAO JERONIMO"
2232022,"HOSPITAL CENTENARIO"
2232049,"HOSPITAL DOM JOAO BECKER"
2232057,"HOSPITAL REGINA NOVO HAMBURGO"
2232081,"HOSPITAL ALVORADA"
2232103,"HOSPITAL PADRE JEREMIAS"
2232146,"FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH"
2232154,"HOSPITAL SAPIRANGA"
2232162,"FUNDACAO HOSPITALAR DE SAPUCAIA DO SUL"
2237253,"IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE"
2237571,"HOSPITAL NOSSA SENHORA DA CONCEICAO SA"
2237598,"HOSPITAL DIVINA PROVIDENCIA"
2237601,"HOSPITAL DE CLINICAS"
2237822,"HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS"
2241021,"HOSPITAL TACCHINI"
2241048,"HOSPITAL NOSSA SENHORA DA OLIVEIRA"
2244276,"HOSPITAL DE CARIDADE ASTROGILDO DE AZEVEDO"
2244306,"HUSM HOSPITAL UNIVERSITARIO DE SANTA MARIA"
2246988,"HOSPITAL SAO VICENTE DE PAULO"
2248190,"SANTA CASA DE URUGUAIANA"
2252287,"HOSPITAL BRUNO BORN"
2253046,"UCPEL HOSPITAL UNIVERSITARIO SAO FRANCISCO DE PAULA"
2253054,"SANTA CASA DE MISERICORDIA DE PELOTAS"
2254611,"HOSPITAL VIDA SAUDE"
2254964,"HOSPITAL SANTA CRUZ"
2257548,"HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA"
2257556,"HOSPITAL MONTENEGRO"
2257815,"HOSPITAL SAO VICENTE DE PAULO"
2259907,"HOSPITAL SANTO ANGELO"
2261057,"HOSPITAL DE CARIDADE DE IJUI"
2261987,"SANTA CASA DE CARIDADE DE BAGE"
2262568,"HOSPITAL SAO LUCAS DA PUCRS"
2265052,"HOSPITAL FEMINA"
2266474,"HOSPITAL DE CARIDADE E BENEFICENCIA"
2707675,"HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR"
2707918,"FUNDACAO HOSPITALAR SANTA TEREZINHA DE ERECHIM"
2707969,"HOSPITAL BENEFICIENTE SANTA LUZIA"
2793008,"HOSPITAL TRAMANDAI"
3006522,"HOSPITAL MOINHOS DE VENTO"
3007847,"HOSPITAL MAE DE DEUS"
3213943,"HOSPITAL UNIMED"
3508528,"HOSPITAL UNIVERSITARIO"
5922216,"HOSPITAL CASA DE SAUDE"
3356868,"HOSPITAL UNIMED CAXIAS DO SUL"
