"CODESTAB","CODMUNNASC","n_nascimentos","ANONASC","n_anomalias"
"0000143",150060,2,2010,0
"0000146",150380,47,2010,0
"0000156",150140,344,2010,5
"0000198",150140,74,2010,2
"0000265",110020,3817,2010,13
"0000315",150140,55,2010,0
"0000339",170220,100,2010,0
"0000340",150060,61,2010,5
"0000356",150613,167,2010,5
"0000486",130260,105,2010,0
"0000491",150670,482,2010,2
"0007641",150240,2797,2010,1
"0007684",150240,2478,2010,18
"0007900",150240,620,2010,5
"2000016",120042,17,2010,0
"2000024",120042,62,2010,0
"2000083",120033,231,2010,0
"2000121",120060,1015,2010,2
"2000296",120020,2255,2010,11
"2000393",120070,169,2010,1
"2000636",120030,613,2010,4
"2000725",120045,101,2010,0
"2000733",120040,3378,2010,12
"2000822",120038,21,2010,0
"2000865",120050,876,2010,0
"2000970",120034,76,2010,0
"2000997",120038,68,2010,0
"2001020",120005,94,2010,1
"2001500",120010,719,2010,2
"2001594",120035,96,2010,0
"2001748",120039,116,2010,0
"2001772",120043,18,2010,0
"2002078",120040,5041,2010,7
"2002353",120030,1,2010,0
"2002876",120013,1,2010,0
"2002906",120017,1,2010,0
"2011859",130395,148,2010,1
"2011875",130230,284,2010,0
"2011891",130255,88,2010,0
"2011905",130310,564,2010,2
"2012022",130050,363,2010,1
"2012383",130080,471,2010,4
"2012480",130260,3864,2010,37
"2012499",130070,560,2010,0
"2012553",130410,366,2010,2
"2012618",130240,675,2010,1
"2012804",130423,250,2010,1
"2012839",130185,580,2010,3
"2013029",130260,2049,2010,10
"2013045",130030,605,2010,2
"2013258",130250,1861,2010,17
"2013282",130014,253,2010,1
"2013290",130014,1,2010,0
"2013320",130353,437,2010,2
"2013495",130210,43,2010,0
"2013509",130260,65,2010,0
"2013568",130195,161,2010,0
"2013614",130180,212,2010,0
"2014688",130270,545,2010,3
"2015242",130040,210,2010,0
"2016125",130406,1023,2010,6
"2016141",130420,1632,2010,4
"2016249",130400,155,2010,0
"2016354",130068,281,2010,0
"2016362",130068,1,2010,0
"2016397",130140,680,2010,12
"2016419",130090,182,2010,0
"2016443",130426,281,2010,1
"2016478",130360,177,2010,0
"2016540",130300,234,2010,0
"2016567",130440,239,2010,0
"2016605",130063,315,2010,0
"2016648",130006,118,2010,2
"2016656",130083,66,2010,0
"2016672",130020,164,2010,0
"2016893",130340,960,2010,5
"2016923",130190,1781,2010,0
"2016974",130060,762,2010,0
"2017016",130170,766,2010,2
