"codigo","nome"
"0007641","ABSJ"
"0007684","HOSPITAL MAGALHAES"
"0073482","HOSPITAL REGIONAL DO BAIXO TOCANTINS HOSPITAL SANTA ROSA"
"2000121","HOSPITAL DR SANSAO GOMES"
"2000296","HOSPITAL DA MULHER E DA CRIANCA DO JURUA"
"2000733","MATERNIDADE E CLINICAS DE MULHERES BARBARA HELIODORA"
"2000865","HOSPITAL JOAO CANCIO FERNANDES"
"2001500","HOSPITAL RAIMUNDO CHAAR"
"2002078","HOSPITAL SANTA JULIANA"
"2011905","UNIDADE HOSPITALAR DE NOVA OLINDA DO NORTE"
"2012480","MATERNIDADE DR MOURA TAPAJOZ"
"2012618","UNIDADE HOSPITALAR DE LABREA"
"2013029","MATERNIDADE DR ANTENOR BARBOSA"
"2013045","UNIDADE HOSPITALAR DE AUTAZES"
"2013258","HOSPITAL GERAL DE MANACAPURU"
"2014688","UNIDADE HOSPITALAR HAMILTON CIDADE"
"2016141","HOSPITAL REGIONAL DE TEFE"
"2016397","UNIDADE HOSPITALAR DE EIRUNEPE"
"2016893","HOSPITAL PADRE COLOMBO"
"2016923","HOSPITAL REGIONAL JOSE MENDES"
"2016974","HOSPITAL GERAL DE BENJAMIN CONSTANT DOUTOR MELVINO DE JESUS"
"2017016","HOSPITAL REGIONAL DR LUIZA DA CONCEICAO FERNANDES"
"2017199","SAMEL"
"2017318","MATERNIDADE DONA NAZIRA DAOU"
"2017792","HMU HOSPITAL MATERNIDADE UNIMED"
"2018012","HOSPITAL SAO LUCAS"
"2018055","HOSPITAL SANTA JULIA"
"2018136","HOSPITAL REGIONAL DE COARI PREF DR ODAIR CARLOS GERALDO"
"2018144","HOSPITAL DE MAUES DONA MUNDIQUINHA"
"2018365","HOSPITAL SANTO ALBERTO"
"2019558","MATERNIDADE BALBINA MESTRINHO"
"2019566","HOSPITAL CHAPOT PREVOST"
"2020068","SES AP HOSPITAL DA MULHER MAE LUZIA"
"2020076","SES AP HOSPITAL ESTADUAL DE LARANJAL DO JARI"
"2020890","HOSPITAL SAO CAMILO E SAO LUIS"
"2021064","SES AP HOSPITAL ESTADUAL DE SANTANA"
"2311763","HOSPITAL MUNICIPAL DR AFONSO RODRIGUES ALMEIDA NEVES"
"2314819","HOSPITAL REGIONAL DR OLIMPIO CARDOSO DA SILVEIRA"
"2316757","HOSPITAL MUNICIPAL DE JURUTI FRANCISCO RODRIGUES BARROS"
"2318482","HOSPITAL MUNICIPAL SAO BENTO"
"2318628","HOSPITAL MUNICIPAL DE PARAGOMINAS"
"2328992","HOSPITAL REGIONAL DE CONCEICAO DO ARAGUAIA"
"2329891","HOSPITAL E MATERNIDADE SAGRADA FAMILIA"
"2329905","HOSPITAL MUNICIPAL DE SANTAREM"
"2330830","HOSPITAL GERAL DE ALTAMIRA SAO RAFAEL HGA"
"2331098","HOSPITAL MUNICIPAL DE ITAITUBA"
"2331861","HOSPITAL SANTO ANTONIO"
"2332299","HOSPITAL SANTA CASA DE MISERICORDIA DE OBIDOS"
"2332620","MATERNIDADE DO POVO FILIAL"
"2332671","HOSPITAL D LUIZ I"
"2332930","MATERNIDADE DO POVO MATRIZ"
"2333031","HOSPITAL DE CLINICAS GASPAR VIANA"
"2333112","HOSPITAL SAMARITANO"
"2340992","HOSPITAL ORDEM TERCEIRA"
"2418657","HOSPITAL MUNICIPAL MARIA SANTANA ROCHA FRANCO"
"2418665","HOSPITAL DE CAMETA"
"2468972","HOSPITAL REGIONAL DE AUGUSTINOPOLIS"
"2494299","HOSPITAL REGIONAL DE ARIQUEMES"
"2495228","HOSPITAL MUNICIPAL AMELIO JOAO DA SILVA"
"2495279","HOSPITAL DR CLAUDIONOR COUTO RORIZ"
"2496046","HOSPITAL MUNICIPAL MATERNO INFANTIL DE CACOAL"
"2504901","HOSPITAL MUNICIPAL DR PEDRO PAULO BARCAUI"
"2537028","HOSPITAL MUNICIPAL DE URUARA"
"2566168","HOSPITAL MATERNO INFANTIL N SRA DE NAZARETH"
"2615711","HOSPITAL MUNICIPAL DE ITUPIRANGA"
"2615746","HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES"
"2615835","HOSPITAL ANITA GEROSA"
"2619717","HOSPITAL DA DIVINA PROVIDENCIA"
"2619938","HOSPITAL MATERNIDADE SAO DOMINGOS SAVIO"
"2621614","HOSPITAL REGIONAL DE TUCURUI"
"2621649","HOSPITAL MUNICIPAL DE TUCURUI"
"2622459","HOSPITAL E MATERNIDADE TOME ACU"
"2676923","HOSPITAL GERAL DE PORTEL DR WILSON DA MOTTA SILVEIRA"
"2677563","HOSPITAL MUNICIPAL DANIEL GONCALVES"
"2678403","HOSPITAL SANTO ANTONIO MARIA ZACCARIA"
"2678756","HOSPITAL GERAL DE BRAGANCA"
"2694530","UNIDADE MUNICIPAL MATERNO INFANTIL NS DAS MERCES"
"2695251","HOSPITAL ABELARDO SANTOS"
"2743590","CENTRO MATERNO INFANTIL REGINA PACIS"
"2752700","SANTA CASA DE MISERICORDIA DO PARA"
"2755149","HOSPITAL REGIONAL DE PARAISO DR ALFREDO O BARROS"
"2755157","HOSPITAL E MATERNIDADE D REGINA S CAMPOS DE PALMAS"
"2755165","HOSPITAL DOM ORIONE DE ARAGUAINA"
"2765640","HOSPITAL REGIONAL DE GUARAI"
"2786109","HOSPITAL REGIONAL DE GURUPI"
"2792478","HOSPITAL E MATERNIDADE CRISTO REI PALMAS"
"2798484","HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA"
"2808609","HOSPITAL MUNICIPAL SANDOVAL DE ARAUJO DANTAS JARU"
"3004104","MATERNIDADE AZILDA DA SILVA MARREIRO"
"3151794","MATERNIDADE DE REFERENCIA ANA BRAGA"
"3210243","HOSPITAL REGIONAL DR JOFRE DE MATOS COHEN"
"3668770","HOSPITAL MATERNO INFANTIL TIA DEDE"
"3970442","HOSPITAL MATERNIDADE MAE ESPERANCA"
"4001303","HOSPITAL DE BASE PORTO VELHO"
"4004787","HOSPITAL DE GUARNICAO DE SAO GABRIEL DA CACHOEIRA"
"5332427","SAUDE HOSPITAL E MATERNIDADE"
"5703425","HOSPITAL MATERNO INFANTIL DE MARABA"
"6569234","MATERNIDADE ELMAZA SADECK"
"6627595","INSTITUTO DA MULHER DONA LINDU"
"6779069","HOSPITAL GERAL DE TAILANDIA"
"7283458","HOSPITAL SANTA MARIA DE ANANINDEUA"
"7360347","ASSOCIACAO CENAS"
"7459831","MATERNIDADE ENFERMEIRA CELINA VILLACREZ RUIZ"
"8001448","MATERNIDADE IRMA DULCE"
"9046720","HOSPITAL RIO MAR"
"9461493","HOSPITAL REGIONAL PUBLICO MATERNO INFANTIL DE BARCARENA"
"9697217","HOSPITAL RIO AMAZONAS"
"9917322","HOSPITAL REGIONAL PUBLICO DR ABELARDO SANTOS"
